alignment	model
OG0000032_disco_tree10_aligned_trim.faa	LG
OG0000032_disco_tree11_aligned_trim.faa	LG
OG0000032_disco_tree12_aligned_trim.faa	LG
OG0000032_disco_tree1_aligned_trim.faa	LG
OG0000032_disco_tree2_aligned_trim.faa	LG
OG0000032_disco_tree5_aligned_trim.faa	LG
OG0000032_disco_tree6_aligned_trim.faa	LG
OG0000032_disco_tree7_aligned_trim.faa	LG
OG0000032_disco_tree8_aligned_trim.faa	LG
OG0000032_disco_tree9_aligned_trim.faa	LG
OG0000033_disco_tree1_aligned_trim.faa	LG
OG0000033_disco_tree2_aligned_trim.faa	WAG
OG0000034_disco_tree1_aligned_trim.faa	VT
OG0000037_disco_tree1_aligned_trim.faa	JTT
OG0000038_disco_tree1_aligned_trim.faa	LG
OG0000038_disco_tree2_aligned_trim.faa	LG
OG0000038_disco_tree3_aligned_trim.faa	VT
OG0000039_disco_tree1_aligned_trim.faa	LG
OG0000041_disco_tree1_aligned_trim.faa	WAG
OG0000046_disco_tree1_aligned_trim.faa	LG
OG0000046_disco_tree2_aligned_trim.faa	VT
OG0000046_disco_tree3_aligned_trim.faa	LG
OG0000046_disco_tree4_aligned_trim.faa	LG
OG0000046_disco_tree5_aligned_trim.faa	LG
OG0000046_disco_tree7_aligned_trim.faa	LG
OG0000048_disco_tree1_aligned_trim.faa	LG
OG0000049_disco_tree1_aligned_trim.faa	VT
OG0000049_disco_tree2_aligned_trim.faa	LG
OG0000049_disco_tree4_aligned_trim.faa	LG
OG0000049_disco_tree5_aligned_trim.faa	LG
OG0000050_disco_tree1_aligned_trim.faa	WAG
OG0000050_disco_tree2_aligned_trim.faa	FLU
OG0000051_disco_tree1_aligned_trim.faa	LG
OG0000052_disco_tree2_aligned_trim.faa	LG
OG0000053_disco_tree2_aligned_trim.faa	LG
OG0000053_disco_tree3_aligned_trim.faa	LG
OG0000053_disco_tree5_aligned_trim.faa	LG
OG0000053_disco_tree6_aligned_trim.faa	LG
OG0000053_disco_tree7_aligned_trim.faa	LG
OG0000053_disco_tree8_aligned_trim.faa	LG
OG0000059_disco_tree1_aligned_trim.faa	WAG
OG0000061_disco_tree1_aligned_trim.faa	LG
OG0000061_disco_tree2_aligned_trim.faa	LG
OG0000064_disco_tree1_aligned_trim.faa	LG
OG0000064_disco_tree2_aligned_trim.faa	FLU
OG0000064_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000067_disco_tree1_aligned_trim.faa	LG
OG0000068_disco_tree1_aligned_trim.faa	LG
OG0000069_disco_tree1_aligned_trim.faa	LG
OG0000069_disco_tree2_aligned_trim.faa	LG
OG0000073_disco_tree1_aligned_trim.faa	DCMut
OG0000075_disco_tree1_aligned_trim.faa	WAG
OG0000075_disco_tree3_aligned_trim.faa	WAG
OG0000077_disco_tree1_aligned_trim.faa	LG
OG0000077_disco_tree3_aligned_trim.faa	LG
OG0000077_disco_tree4_aligned_trim.faa	LG
OG0000077_disco_tree5_aligned_trim.faa	LG
