alignment	model
13_distribution_divergence/01_input_alignments/OG0000019_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000020_disco_tree1_aligned_trim.faa	Blosum62
13_distribution_divergence/01_input_alignments/OG0000020_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000020_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000020_disco_tree4_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000020_disco_tree5_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000020_disco_tree6_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000021_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000021_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000021_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000021_disco_tree4_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000021_disco_tree5_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000022_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000022_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000022_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000023_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000023_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000023_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000023_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000023_disco_tree5_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000024_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000024_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000024_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000024_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000025_disco_tree1_aligned_trim.faa	RtREV
13_distribution_divergence/01_input_alignments/OG0000025_disco_tree3_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000025_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000025_disco_tree5_aligned_trim.faa	RtREV
13_distribution_divergence/01_input_alignments/OG0000026_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000026_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000026_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000027_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000029_disco_tree1_aligned_trim.faa	VT
13_distribution_divergence/01_input_alignments/OG0000031_disco_tree1_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000031_disco_tree2_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000031_disco_tree3_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000031_disco_tree4_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000032_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000032_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000032_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000032_disco_tree4_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000033_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000034_disco_tree1_aligned_trim.faa	cpREV
13_distribution_divergence/01_input_alignments/OG0000034_disco_tree2_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000035_disco_tree1_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000035_disco_tree2_aligned_trim.faa	VT
