alignment	model
OG0000038_disco_tree1_aligned_trim.faa	JTT
OG0000038_disco_tree2_aligned_trim.faa	VT
OG0000039_disco_tree1_aligned_trim.faa	JTT
OG0000039_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000039_disco_tree3_aligned_trim.faa	LG
OG0000039_disco_tree4_aligned_trim.faa	LG
OG0000040_disco_tree1_aligned_trim.faa	JTT
OG0000040_disco_tree2_aligned_trim.faa	JTT
OG0000041_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000041_disco_tree2_aligned_trim.faa	LG
OG0000041_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000042_disco_tree1_aligned_trim.faa	JTT
OG0000042_disco_tree2_aligned_trim.faa	LG
OG0000042_disco_tree3_aligned_trim.faa	LG
OG0000044_disco_tree1_aligned_trim.faa	LG
OG0000044_disco_tree2_aligned_trim.faa	LG
OG0000044_disco_tree3_aligned_trim.faa	LG
OG0000046_disco_tree1_aligned_trim.faa	WAG
OG0000047_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000047_disco_tree2_aligned_trim.faa	JTT
OG0000048_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000048_disco_tree2_aligned_trim.faa	LG
OG0000048_disco_tree3_aligned_trim.faa	LG
OG0000048_disco_tree4_aligned_trim.faa	LG
OG0000050_disco_tree1_aligned_trim.faa	JTT
OG0000050_disco_tree2_aligned_trim.faa	JTT
OG0000051_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000051_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000051_disco_tree3_aligned_trim.faa	JTT
OG0000051_disco_tree4_aligned_trim.faa	JTT
OG0000052_disco_tree1_aligned_trim.faa	LG
OG0000054_disco_tree1_aligned_trim.faa	LG
OG0000054_disco_tree2_aligned_trim.faa	LG
OG0000054_disco_tree3_aligned_trim.faa	LG
OG0000054_disco_tree4_aligned_trim.faa	Dayhoff
OG0000055_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000055_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000055_disco_tree3_aligned_trim.faa	WAG
OG0000055_disco_tree4_aligned_trim.faa	JTTDCMut
OG0000056_disco_tree1_aligned_trim.faa	LG
OG0000056_disco_tree2_aligned_trim.faa	LG
OG0000057_disco_tree1_aligned_trim.faa	LG
OG0000057_disco_tree2_aligned_trim.faa	LG
OG0000057_disco_tree3_aligned_trim.faa	WAG
OG0000058_disco_tree1_aligned_trim.faa	WAG
OG0000058_disco_tree2_aligned_trim.faa	WAG
OG0000059_disco_tree1_aligned_trim.faa	WAG
OG0000059_disco_tree2_aligned_trim.faa	WAG
OG0000060_disco_tree1_aligned_trim.faa	LG
OG0000060_disco_tree2_aligned_trim.faa	LG
OG0000061_disco_tree1_aligned_trim.faa	WAG
OG0000061_disco_tree2_aligned_trim.faa	WAG
