alignment	model
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree32_aligned_trim.faa	HIVw
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree33_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree34_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree35_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree36_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree37_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree38_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree39_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree3_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree40_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree42_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree43_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree44_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree45_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree46_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree47_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree48_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree49_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree4_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree5_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree6_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree7_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree8_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000000_disco_tree9_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000001_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000001_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000001_disco_tree3_aligned_trim.faa	JTT
